Type,Element,Grading,Notes
State,"Initial state (→ Scheduled)",,
State,"Scheduled",,
Transition,"at beginningStopDuration (Scheduled ⇒ Active)",,
Action,"pOn; setCS;",,
Composite State,"Active",,
Region,"TrainControl",,
Composite State,"TrainMovement",,
State,"Initial state (TrainMovement → AtStation)",,
State,"AtStation",,
Action,"entry / openDoors()",,
Action,"exit / closeDoors()",,
Transition,"after stopDuration (AtStation ⇒ StopNotRequired)",,
Guard,"[!isLastStop()]",,
Transition,"after stopDuration (AtStation ⇒ Arrived)",,
Guard,"[isLastStop()]",,
Action,"pOff;",,
State,"StopNotRequired",,
Action,"entry / setSpeed()",,
Transition,"enteringSegment (StopNotRequired ⇒ StopNotRequired)",,
Guard,"[isRegularSegment()]",,
Transition,"enteringSegment (StopNotRequired ⇒ ApproachingRedLight)",,
Guard,"[isTrafficLightSegment() && isRed()]",,
Transition,"enteringSegment (StopNotRequired ⇒ StopNotRequired)",,
Guard,"[isTrafficLightSegment() && !isRed()]",,
Transition,"enteringSegment (StopNotRequired ⇒ ApproachingStation)",,
Guard,"[isStationSegment() && stopRequired()]",,
State,"ApproachingRedLight",,
Action,"entry / stopAL",,
Transition,"stopped (ApproachingRedLight ⇒ AtRedTrafficLight)",,
State,"AtRedTrafficLight",,
Transition,"green (AtRedTrafficLight ⇒ StopNotRequired)",,
State,"ApproachingStation",,
Action,"entry / stopAL",,
Transition,"stopped (ApproachingStation ⇒ AtStation)",,
History State,"History State for TrainMovement",,
State,"Emergency",,
Transition,"emergency (TrainMovement ⇒ Emergency)",,
Action,"eStop;",,
Transition,"clear (Emergency ⇒ History State)",,
Region,"SDS",,
State,"Initial state (SDS → SDSActive)",,
State,"SDSActive",,
Transition,"after 1 sec (SDSActive ⇒ SDSActive)",,
Guard,"[hasSegmentChanged()]",,
Action,"setCS; enteringSegment()",,
Transition,"after 1 sec (SDSActive ⇒ SDSActive)",,
Guard,"[!hasSegmentChanged()]",,
Region,"MDS",,
State,"Initial state (MDS → Stopped)",,
State,"Stopped",,
Transition,"after 1 sec (Stopped ⇒ Moving)",,
Guard,"[speed > 0]",,
Transition,"after 1 sec (Stopped ⇒ Stopped)",,
Guard,"[speed == 0]",,
Action,"stopped()",,
State,"Moving",,
Transition,"after 1 sec (Moving ⇒ Stopped)",,
Guard,"[speed == 0]",,
Action,"stopped()",,
Transition,"after 1 sec (Moving ⇒ Moving)",,
Guard,"[speed > 0]",,
Region,"ODS",,
State,"Initial state (ODS → ODSActive)",,
State,"ODSActive",,
Transition,"after 1 sec (ODSActive ⇒ ODSActive)",,
Guard,"[obstacleDetected()]",,
Action,"emergency()",,
Transition,"after 1 sec (ODSActive ⇒ ODSActive)",,
Guard,"[!obstacleDetected()]",,
State,"Arrived",,
State,"additional elements",,
Transition,"additional elements",,
Guard,"additional elements",,
Action,"additional elements",,
Composite State,"additional elements",,
Region,"additional elements",,
History State,"additional elements",,
