Type,Element,Grading,Notes
State,"Initial state (→ Active)",,
Composite State,"Active",,
State,"Initial state (Active → Ready)",,
State,"Ready",,
Transition,"scannedNr (Ready ⇒ Ready)",,
Guard,"[!existsNr()]",,
Action,"error()",,
Transition,"productCodeEntered (Ready ⇒ Ready)",,
Guard,"[!existsCode()]",,
Action,"error()",,
Transition,"productCodeEntered (Ready ⇒ WeighItem)",,
Guard,"[existsCode()]",,
Transition,"scannedNr (Ready ⇒ CheckWeight)",,
Guard,"[existsNr()]",,
Action,"addItem()",,
Transition,"cancelCheckout (Ready ⇒ Override)",,
Action,"setTypeEverything()",,
Transition,"removeItem (Ready ⇒ Override)",,
Guard,"[billHasItem()]",,
Action,"setTypeItem()",,
Transition,"broughtOwnBag (Ready ⇒ WeighBag)",,
Transition,"pay (Ready ⇒ PayRequested)",,
Guard,"[billHasItem()]",,
Action,"sendPaymentRequest()",,
State,"WeighItem",,
Transition,"cancel (WeighItem ⇒ Ready)",,
Transition,"weighedItem (WeighItem ⇒ CheckWeight)",,
Action,"addWeighedItem()",,
State,"CheckWeight",,
Transition,"secWeighedItem (CheckWeight ⇒ Ready)",,
Guard,"[weightMatched()]",,
Transition,"secWeighedItem (CheckWeight ⇒ Override)",,
Guard,"[!weightMatched()]",,
Action,"setTypeItem()",,
Transition,"cancelCheckout (CheckWeight ⇒ Override)",,
Action,"setTypeEverything()",,
State,"WeighBag",,
Transition,"secWeighedItem (WeighBag ⇒ Ready)",,
Action,"addBag()",,
Transition,"cancel (WeighBag ⇒ Ready)",,
State,"Override",,
Action,"entry / lightOn()",,
Action,"exit / lightOff()",,
Transition,"codeEntered (Override ⇒ Ready)",,
Guard,"[codeCorrect() && isTypeItem()]",,
Action,"clearItem()",,
Transition,"codeEntered (Override ⇒ Ready)",,
Guard,"[codeCorrect() && isTypeEverything()]",,
Action,"clearEverything()",,
Transition,"codeEntered (Override ⇒ Override)",,
Guard,"[!codeCorrect()]",,
Transition,"timeoutWarning (Active ⇒ TimeoutCountdown)",,
Transition,"error()",,
History State,"H (Active)",,
State,"TimeoutCountdown",,
Action,"do / countFrom60()",,
Transition,"(TimeoutCountdown ⇒ Active)",,
Action,"clearEverything()",,
Action,"readyForNextCustomer()",,
State,"PayRequested",,
Transition,"fail (PayRequested ⇒ Ready)",,
Action,"error()",,
Transition,"cancel (PayRequested ⇒ Ready)",,
Transition,"success (PayRequested ⇒ Ready)",,
Action,"printBill()",,
Action,"readyForNextCustomer()",,
State,"additional elements",,
Transition,"additional elements",,
Guard,"additional elements",,
Action,"additional elements",,
Composite State,"additional elements",,
Region,"additional elements",,
History State,"additional elements",,
