Type,Element,Rater 1,Notes
State,"Initial state (→ Watch)",,
Action,"time=0:00:00; alarmTime=0:00:00; alarm=false; flashAlert=false; cdTime=0:00:00",,
Composite State,"Watch",,
Region,"Light",,
State,"Initial state (Light → Off)",,
State,"Off",,
Action,"entry / lightOff()",,
Transition,"D (Off ⇒ On)",,
State,"On",,
Action,"entry / lightOn()",,
Transition,"D (On ⇒ Off)",,
Transition,"after 10sec (On ⇒ Off)",,
Transition,"flash (On ⇒ Flash)",,
Guard,"[flashAlert]",,
State,"Flash",,
Action,"do / flash5Sec()",,
Transition,"flash (Flash ⇒ Off)",,
Guard,"[flashAlert]",,
Transition,"anyButton (Flash ⇒ Off)",,
Region,"WatchMode",,
State,"Initial state (WatchMode → AlarmOff)",,
Composite State,"AlarmOff",,
State,"Initial state (AlarmOff → TimeKeepingMode)",,
Composite State,"TimeKeepingMode",,
State,"Initial state (TimeKeepingMode → Idle)",,
State,"Idle",,
Action,"do / displayTime()",,
Transition,"B2sec (Idle ⇒ Idle)",,
Action,"toggleFlashAlert()",,
Transition,"B (Idle ⇒ Idle)",,
Action,"toggleAlarm()",,
Transition,"C (Idle ⇒ Seconds)",,
Action,"flashSeconds()",,
Transition,"A (TimeKeepingMode ⇒ AlarmMode)",,
State,"Seconds",,
Transition,"B (Seconds ⇒ Seconds)",,
Action,"time+=1sec",,
Transition,"C (Seconds ⇒ Minutes)",,
Action,"flashMinutes()",,
State,"Minutes",,
Transition,"B (Minutes ⇒ Minutes)",,
Action,"time+=1min",,
Transition,"C (Minutes ⇒ Hours)",,
Action,"flashHours()",,
State,"Hours",,
Transition,"B (Hours ⇒ Hours)",,
Action,"time+=1hr",,
Transition,"C (Hours ⇒ Seconds)",,
Action,"flashSeconds()",,
Transition,"A (TimeKeepingMode ⇒ AlarmMode)",,
Composite State,"AlarmMode",,
State,"Initial state (AlarmMode → Idle)",,
State,"Idle",,
Action,"entry / displayAlarmTime()",,
Transition,"C (Idle ⇒ Minutes)",,
Action,"flashMinutes()",,
Transition,"A (AlarmMode ⇒ CountdownMode)",,
State,"Minutes",,
Transition,"B (Minutes ⇒ Minutes)",,
Action,"alarmTime+=1min",,
Transition,"C (Minutes ⇒ Hours)",,
Action,"flashHours()",,
State,"Hours",,
Transition,"B (Hours ⇒ Hours)",,
Action,"alarmTime+=1hr",,
Transition,"C (Hours ⇒ Minutes)",,
Action,"flashMinutes()",,
Transition,"A (AlarmMode ⇒ CountdownMode)",,
Composite State,"CountdownMode",,
State,"Initial state (CountdownMode → Idle)",,
State,"Idle",,
Action,"entry / displayCdTime()",,
Transition,"C (Idle ⇒ Seconds)",,
Action,"flashSeconds()",,
Transition,"B (Idle ⇒ Countdown)",,
Guard,"[cdTime > 0:00:00]",,
Action,"targetTime = time + cdTime",,
Transition,"A (CountdownMode ⇒ TimeKeepingMode)",,
State,"Seconds",,
Transition,"B (Seconds ⇒ Seconds)",,
Action,"cdTime+=1sec",,
Transition,"C (Seconds ⇒ Minutes)",,
Action,"flashMinutes()",,
State,"Minutes",,
Transition,"B (Minutes ⇒ Minutes)",,
Action,"cdTime+=1min",,
Transition,"C (Minutes ⇒ Hours)",,
Action,"flashHours()",,
State,"Hours",,
Transition,"B (Hours ⇒ Hours)",,
Action,"cdTime+=1hr",,
Transition,"C (Hours ⇒ Seconds)",,
Action,"flashSeconds()",,
Transition,"A (CountdownMode ⇒ TimeKeepingMode)",,
State,"Countdown",,
Action,"do / displayCountdown()",,
Transition,"(targetTime == time) (Countdown ⇒ CountdownReached)",,
Action,"flash()",,
State,"CountdownReached",,
Action,"do / flashZero&Beep5Sec()",,
Transition,"anyButton (CountdownReached ⇒ History State)",,
History State,"H",,
Transition,"(alarm && alarmTime == time) (Watch ⇒ AlarmOn)",,
Action,"saveDisplay()",,
Action,"flash()",,
State,"AlarmOn",,
Action,"do / flashAlarmTime&Beep5Sec()",,
Action,"exit / restoreDisplay()",,
Transition,"anyButton (AlarmOn ⇒ History State)",,
State,"additional elements",,
Transition,"additional elements",,
Guard,"additional elements",,
Action,"additional elements",,
Composite State,"additional elements",,
Region,"additional elements",,
History State,"additional elements",,
