Type,Element,Grading,Notes
State,"Initial state (→ Off)",,
State,"Off",,
Transition,"on (Off ⇒ On)",,
Composite State,"On",,
Transition,"on => off",,
Composite State,"Setup",,
State,"Initial state (Setup → Medium)",,
Action,"delay=0; selectFirstCourse()",,
State,"Medium",,
Transition,"setup initial state => medium",,
Transition,"medium => dark",,
State,"Dark",,
Transition,"dark => light",,
State,"Light",,
History State,"H",,
Transition,"setup => H",,
Action,"selectNextCourse()",,
Transition,"plus (Setup ⇒ Setup)",,
Guard,"[delay <= 17*60+50]",,
Action,"delay = delay + 10",,
Transition,"minus (Setup ⇒ Setup)",,
Guard,"[delay >= 10]",,
Action,"delay = delay - 10",,
Transition,"start (Setup ⇒ Countdown)",,
Guard,"[delay > 0]",,
Transition,"start (Setup ⇒ Baking)",,
Guard,"[delay == 0]",,
State,"Countdown",,
Action,"setCourseTimes()",,
Transition,"Countdown => baking",,
Transition,"Countdown => setup",,
Action,"setCourseTimes()",,
Composite State,"Baking",,
State,"Initial state",,
State,"Kneading",,
Action,"startKneading()",,
Action,"stopKneading()",,
Transition,"baking initial state => kneading",,
Transition,"kneading => rising",,
State,"Rising",,
Transition,"rising => baking",,
State,"Baking",,
Action,"heat()",,
Transition,"baking => warming",,
State,"Warming",,
Action,"warm()",,
Transition,"adter 60min (warming => setup)",,
Transition,"baking => setup",,
State,"additional elements",,
Transition,"additional elements",,
Guard,"additional elements",,
Action,"additional elements",,
Composite State,"additional elements",,
Region,"additional elements",,
History State,"additional elements",,
