Type,Element,Grading,Notes
State,"initial state (off)",,
Transition,"initial state (off) => off",,
State,"Off",,
Transition,"off => on",,
Composite State,"On",,
State,"initial state (on)",,
Composite State,"GameSetup",,
Region,"GameSetup Region 1",,
State,"Initial state (region 1)",,
State,"TimingSelection",,
Action,"incrTimingProgram()",,
Action,"decrTimingProgram()",,
Transition,"timing selection => timing selection",,
Transition,"game setup => ready to start",,
Region,"GameSetup Region 2",,
State,"Initial state (region 2)",,
State,"WhiteKingOnLeft",,
State,"WhiteKingOnRight",,
Transition,"initial state => white king on left",,
Transition,"white king on left => white king on right",,
Transition,"white king on right => white king on left",,
State,"ReadyToStart",,
Transition,"ready to start => game running",,
Composite State,"GameRunning",,
History State,"H",,
State,"WhiteClockRunning",,
Action,"startTimer(wc)",,
Action,"stopTimer(wc)",,
Guard,"[wc > 0]",,
Action,"decrTimer(wc)",,
Transition,"white clock running => white clock running",,
State,"BlackClockRunning",,
Action,"startTimer(bc)",,
Action,"stopTimer(bc)",,
Guard,"[bc > 0]",,
Action,"decrTimer(bc)",,
Transition,"balck clock running => black clock running",,
Transition,"game running => game paused",,
Transition,"game running => game finished",,
Guard,"[wc == 0]",,
Guard,"[bc == 0]",,
State,"GamePaused",,
Transition,"game paused => game running",,
State,"GameFinished",,
Transition,"on => off",,
State,"additional elements",,
Transition,"additional elements",,
Guard,"additional elements",,
Action,"additional elements",,
Composite State,"additional elements",,
Region,"additional elements",,
History State,"additional elements",,
