Type,Element,Grading,Notes
Composite State,"DishwasherOn",,
Region,"Door",,
State,"initial state (⇒ Closed)",,
State,"Closed",,
Transition,"open (Closed ⇒ Open)",,
Transition,"lock (Closed ⇒ Locked)",,
State,"Open",,
Transition,"close (Open ⇒ Closed)",,
State,"Locked",,
Transition,"unlock (Locked ⇒ Closed)",,
Region,"Washer",,
State,"initial state",,
Transition,"r =1; dT=20; (initial state ⇒ Idle)",,
State,"Idle",,
Transition,"selectProgram(n) (Idle ⇒ Idle)",,
Guard,"[n ≥ 1]",,
Action,"r = n;",,
Transition,"toggleDryingTime (Idle ⇒ Idle)",,
Action,"if dT = 20 then dT = 40 else dT = 20;",,
Transition,"start (Idle ⇒ Cleaning)",,
Guard,"[door.isClosed()]",,
Action,"door.lock(); c = 1;",,
Composite State,"Cleaning",,
State,"initial state (⇒ Intake)",,
State,"Intake",,
Transition,"Intake ⇒ Washing",,
State,"Washing",,
Transition,"after 10 min (Washing ⇒ Drain)",,
State,"Drain",,
Guard,"[c < r]",,
Transition,"Drain ⇒ Intake",,
Action,"c++",,
Transition,"(Drain ⇒ end state)",,
Guard,"[c ≥ r]",,
History State,"History State for Cleaning",,
Transition,"toggleDryingTime (Cleaning ⇒ History State)",,
Action,"if dT = 20 then dT = 40 else dT = 20;",,
Transition,"Cleaning ⇒ Drying",,
Action,"door.unlock();",,
State,"Drying",,
Transition,"after dT min (Drying ⇒ Idle)",,
Transition,"extend DryingTime (Drying ⇒ Drying)",,
Action,"dT = 40;",,
Transition,"open (Drying ⇒ Suspended)",,
State,"Suspended",,
Transition,"close (Suspended ⇒ Drying)",,
Transition,"after 5 min (Suspended ⇒ Idle)",,
State,"additional elements",,
Transition,"additional elements",,
Guard,"additional elements",,
Action,"additional elements",,
Composite State,"additional elements",,
Region,"additional elements",,
History State,"additional elements",,
