Type,Element,Grading,Notes
Composite State,"SpaManager",,
Region,"Jacuzzi",,
State,"initial state (Jacuzzi → Off)",,
State,"Off",,
Composite State,"On (Jacuzzi)",,
Transition,"on (Off ⇒ On)",,
Transition,"off (On ⇒ Off)",,
State,"initial state (Level1)",,
State,"Level1",,
Transition,"up (Level1 ⇒ Level2)",,
State,"Level2",,
Transition,"up (Level2 ⇒ Level3)",,
Transition,"down (Level2 ⇒ Level1)",,
State,"Level3",,
Transition,"down (Level3 ⇒ Level2)",,
History State,"History State for Jacuzzi On",,
Transition,"setPattern(PatternType type) (On⇒ History State)",,
State,"Paused",,
Transition,"pause (On⇒ Pause)",,
Transition,"after 2min (Paused ⇒ History State)",,
Region,"Sauna",,
State,"initial state (Sauna → Off)",,
State,"Off",,
Composite State,"On (Sauna)",,
Transition,"on (Off ⇒ On)",,
Transition,"off (On ⇒ Off)",,
Region,"Heater",,
State,"initial state (Heater → Heat)",,
State,"Heat",,
Transition,"Heat ⇒ Idle",,
Guard,"[temp ≥ 90°C]",,
State,"Idle",,
Transition,"Idle ⇒ Heat",,
Guard,"[temp < 85°C]",,
Region,"Fan",,
State,"initial state (Fan → Off)",,
State,"Off",,
Transition,"after 5min (Off ⇒ On)",,
Guard,"[humidity > 40% && exceedTime > 3min]",,
Region,"Water",,
State,"initial state (Water → Idle)",,
State,"Idle",,
Transition,"Idle ⇒ Idle",,
Guard,"disperse [humidity < 40% && !Fan.On && timeSinceLast ≥ 15min]",,
State,"additional elements",,
Transition,"additional elements",,
Guard,"additional elements",,
Action,"additional elements",,
Composite State,"additional elements",,
Region,"additional elements",,
History State,"additional elements",,
