Type,Element,Rater 1,Notes
State,"initial state (⇒ TransportationMode)",,
State,"TransportationMode",,
Transition,"selectorPressed (TransportationMode ⇒ On)",,
State,"PreparingOff",,
Transition,"selectorReleased (PreparingOff ⇒ On)",,
Transition,"after 5sec (PreparingOff ⇒ Off)",,
State,"Off",,
Transition,"selectorPressed (Off ⇒ On)",,
Composite State,"On",,
History State,"History State for On",,
Transition,"selectorHeld (On ⇒ PreparingOff)",,
Transition,"bowlRemoved (On ⇒ On)",,
State,"Initial State (On ⇒ Home)",,
State,"Home",,
Transition,"after 14min 30sec (Home ⇒ Preparing Shutdown)",,
Transition,"start (Home ⇒ PromptToAdd)",,
Guard,"[!bowlRemoved()]",,
Action,"setIngredients()",,
State,"Preparing Shutdown",,
Transition,"after 30sec (Preparing Shutdown ⇒ Off)",,
Transition,"cancel (Preparing Shutdown ⇒ Home)",,
State,"PromptToAdd",,
Transition,"next (PromptToAdd ⇒ PromptToAdd)",,
Guard,"[weightCorrect() && moreIngredientsRequired()]",,
Action,"setIngredients()",,
Transition,"next (PromptToAdd ⇒ Chop)",,
Guard,"[weightCorrect() && !moreIngredientsRequired()]",,
Action,"setChoppingSpeedAndTime()",,
State,"Chop",,
Transition,"next (Chop ⇒ PromptToAdd)",,
Guard,"[choppingTimeDone && moreIngredientsRequired()]",,
Action,"setIngredients()",,
Transition,"next (Chop ⇒ Cook)",,
Guard,"[choppingTimeDone && !moreIngredientsRequired()]",,
Action,"setCookingSpeedAndTime()",,
State,"Cook",,
Transition,"after choppingTime (Cook ⇒ PromptToAdd)",,
Guard,"[choppingTimeDone && moreIngredientsRequired()]",,
Action,"setIngredients()",,
Transition,"after cookingTime (Cook ⇒ Ready)",,
Guard,"[!moreIngredientsRequired()]",,
State,"Ready",,
Transition,"after 14min 30sec (Ready ⇒ Preparing Shutdown)",,
State,"additional elements",,
Transition,"additional elements",,
Guard,"additional elements",,
Action,"additional elements",,
Composite State,"additional elements",,
Region,"additional elements",,
History State,"additional elements",,
